2019-12-17,1
2019-12-18,1
2019-12-26,4
2019-12-27,1
2020-01-02,1
2020-01-03,2
2020-01-04,4
2020-01-21,2
2020-01-23,5
2020-01-24,5
2020-02-03,1
2020-02-06,1
2020-02-07,1
2020-02-10,1
2020-02-11,2
2020-02-12,1
2020-02-13,3
2020-02-19,1
2020-03-07,4
2020-03-09,1
2020-04-16,1
2020-04-18,4
2020-04-19,2
2020-04-20,7
2020-04-24,3
2020-05-01,1
2020-05-02,1
2020-05-04,1
2020-05-13,3
2020-05-14,1
2020-05-19,3
2020-05-20,3
2020-05-21,2
2020-05-22,4
2020-05-23,2
2020-05-28,2
2020-06-01,3
2020-06-02,1
2020-06-03,5
2020-06-05,1
2020-06-08,1
2020-06-09,1
2020-06-10,1
2020-06-11,1
2020-06-15,3
2020-06-16,173
2020-06-18,1
2020-06-24,1
2020-07-16,3
2020-07-21,1
2020-07-22,1
2020-07-23,1
2020-07-27,1
2020-08-03,3
2020-08-04,37
2020-08-05,32
2020-08-06,36
2020-08-07,27
2020-08-08,41
2020-08-09,31
2020-08-10,33
2020-08-11,37
2020-08-12,39
2020-08-13,35
2020-08-14,29
2020-08-15,30
2020-08-16,30
2020-08-17,28
2020-08-18,30
2020-08-19,32
2020-08-20,34
2020-08-21,24
2020-08-22,29
2020-08-23,30
2020-08-24,25
2020-08-25,35
2020-08-26,32
2020-08-27,24
2020-08-28,31
2020-08-29,26
2020-08-30,35
2020-08-31,39
2020-09-01,30
2020-09-02,30
2020-09-03,26
2020-09-04,21
2020-09-05,30
2020-09-06,24
2020-09-07,35
2020-09-08,34
2020-09-09,27
2020-09-10,40
2020-09-11,33
2020-09-12,33
2020-09-13,39
2020-09-14,35
2020-09-15,36
2020-09-16,20
2020-09-17,32
2020-09-18,28
2020-09-19,34
2020-09-20,33
2020-09-21,40
2020-09-22,46
2020-09-23,33
2020-09-24,31
2020-09-25,30
2020-09-26,16
2020-09-27,27
2020-09-28,31
2020-09-29,37
2020-09-30,23
2020-10-01,36
2020-10-02,347
2020-10-03,179
2020-10-04,75
2020-10-05,12
